#  Symb ;    Unic ;  #Freq ;                                   Description	  ; Symb ; arabic_algerian_pseudo_maghribi	; Symb ; arabic_amriki_typeface	; Symb ; arabic_bulaq_ii_typeface	; Symb ; arabic_bulaq_i_typeface	; Symb ; arabic_decotype_typeface	; Symb ; arabic_lotus_linotype	; Symb ; arabic_simplified_typeface	; Symb ; arabic_traditional_typeface	; Symb ; backwards_ya_typeface	; Symb ; eurarabic_i	; Symb ; ottoman_naskh_ii_typeface	; Symb ; ottoman_naskh_i_typeface	; Symb ; ottoman_turkish_naskh_i	; Symb ; ottoman_turkish_naskh_ii	; Symb ; persian_amriki	; Symb ; persian_incunabula	; Symb ; persian_intertype	; Symb ; persian_lotus_linotype_typeface	; Symb ; persian_monotype	; Symb ; persian_watts_typeface	; Symb ; russian_persian_typeface	; Symb ; urdu_naskh_typeface	; Symb ; urdu_nastaliq_typeface
    ﺱ   ;  \ufeb1 ;   2017 ;              ARABIC LETTER SEEN ISOLATED FORM	  ;  ﺱ   ;     12	                         ;  ﺱ   ;     16	                ;  ﺱ   ;     15	                  ;  ﺱ   ;    194	                 ;  ﺱ   ;     49	                  ;  ﺱ   ;      6	               ;  ﺱ   ;     91	                    ;  ﺱ   ;     41	                     ;  ﺱ   ;     13	               ;  ﺱ   ;     41	     ;  ﺱ   ;     46	                   ;  ﺱ   ;     43	                  ;  ﺱ   ;     33	                 ;  ﺱ   ;      3	                  ;  ﺱ   ;      0	        ;  ﺱ   ;      2	            ;  ﺱ   ;     14	           ;  ﺱ   ;    184	                         ;  ﺱ   ;    133	          ;  ﺱ   ;     48	                ;  ﺱ   ;      5	                  ;  ﺱ   ;    240	             ;  ﺱ   ;    788
    ﮯ   ;  \ufbaf ;   7076 ;           ARABIC LETTER YEH BARREE FINAL FORM	  ;  ﮯ   ;      0	                         ;  ﮯ   ;      0	                ;  ﮯ   ;      0	                  ;  ﮯ   ;      0	                 ;  ﮯ   ;      0	                  ;  ﮯ   ;      0	               ;  ﮯ   ;      0	                    ;  ﮯ   ;      0	                     ;  ﮯ   ;      0	               ;  ﮯ   ;      0	     ;  ﮯ   ;      0	                   ;  ﮯ   ;      0	                  ;  ﮯ   ;      0	                 ;  ﮯ   ;      0	                  ;  ﮯ   ;      0	        ;  ﮯ   ;      0	            ;  ﮯ   ;      0	           ;  ﮯ   ;      0	                         ;  ﮯ   ;      0	          ;  ﮯ   ;      0	                ;  ﮯ   ;      0	                  ;  ﮯ   ;   1516	             ;  ﮯ   ;   5560
    ﺑ   ;  \ufe91 ;  25323 ;                ARABIC LETTER BEH INITIAL FORM	  ;  ﺑ   ;    209	                         ;  ﺑ   ;    602	                ;  ﺑ   ;    785	                  ;  ﺑ   ;   2665	                 ;  ﺑ   ;    588	                  ;  ﺑ   ;    553	               ;  ﺑ   ;    679	                    ;  ﺑ   ;    733	                     ;  ﺑ   ;    502	               ;  ﺑ   ;    375	     ;  ﺑ   ;    912	                   ;  ﺑ   ;   1160	                  ;  ﺑ   ;   1067	                 ;  ﺑ   ;    208	                  ;  ﺑ   ;     95	        ;  ﺑ   ;    243	            ;  ﺑ   ;   1077	           ;  ﺑ   ;   5318	                         ;  ﺑ   ;   1401	          ;  ﺑ   ;   2535	                ;  ﺑ   ;    735	                  ;  ﺑ   ;    546	             ;  ﺑ   ;   2335
    ﺘ   ;  \ufe98 ;  13928 ;                 ARABIC LETTER TEH MEDIAL FORM	  ;  ﺘ   ;    116	                         ;  ﺘ   ;    491	                ;  ﺘ   ;    531	                  ;  ﺘ   ;   2017	                 ;  ﺘ   ;    368	                  ;  ﺘ   ;    548	               ;  ﺘ   ;    436	                    ;  ﺘ   ;    641	                     ;  ﺘ   ;    334	               ;  ﺘ   ;    268	     ;  ﺘ   ;    695	                   ;  ﺘ   ;    848	                  ;  ﺘ   ;    660	                 ;  ﺘ   ;    143	                  ;  ﺘ   ;     37	        ;  ﺘ   ;     75	            ;  ﺘ   ;    443	           ;  ﺘ   ;   2329	                         ;  ﺘ   ;    354	          ;  ﺘ   ;    965	                ;  ﺘ   ;    243	                  ;  ﺘ   ;    216	             ;  ﺘ   ;   1170
    ﺮ   ;  \ufeae ;  34907 ;                  ARABIC LETTER REH FINAL FORM	  ;  ﺮ   ;    239	                         ;  ﺮ   ;   1066	                ;  ﺮ   ;   1047	                  ;  ﺮ   ;   3577	                 ;  ﺮ   ;    956	                  ;  ﺮ   ;    591	               ;  ﺮ   ;    799	                    ;  ﺮ   ;   1023	                     ;  ﺮ   ;    905	               ;  ﺮ   ;    558	     ;  ﺮ   ;   1293	                   ;  ﺮ   ;   1425	                  ;  ﺮ   ;   2136	                 ;  ﺮ   ;    389	                  ;  ﺮ   ;    155	        ;  ﺮ   ;    411	            ;  ﺮ   ;   1302	           ;  ﺮ   ;   6649	                         ;  ﺮ   ;   1462	          ;  ﺮ   ;   2905	                ;  ﺮ   ;    804	                  ;  ﺮ   ;   1169	             ;  ﺮ   ;   4046
    ﮐ   ;  \ufb90 ;  14370 ;              ARABIC LETTER KEHEH INITIAL FORM	  ;  ﮐ   ;     10	                         ;  ﮐ   ;    132	                ;  ﮐ   ;     21	                  ;  ﮐ   ;    558	                 ;  ﮐ   ;     34	                  ;  ﮐ   ;     29	               ;  ﮐ   ;     10	                    ;  ﮐ   ;      3	                     ;  ﮐ   ;     19	               ;  ﮐ   ;      0	     ;  ﮐ   ;     98	                   ;  ﮐ   ;     86	                  ;  ﮐ   ;    667	                 ;  ﮐ   ;     21	                  ;  ﮐ   ;     40	        ;  ﮐ   ;    285	            ;  ﮐ   ;    532	           ;  ﮐ   ;   2518	                         ;  ﮐ   ;    851	          ;  ﮐ   ;    836	                ;  ﮐ   ;    312	                  ;  ﮐ   ;   1431	             ;  ﮐ   ;   5877
    ٔ    ;  \u0654 ;  12967 ;                            ARABIC HAMZA ABOVE	  ;  ٔ    ;     60	                         ;  ٔ    ;    257	                ;  ٔ    ;   1410	                  ;  ٔ    ;   2837	                 ;  ٔ    ;    940	                  ;  ٔ    ;     60	               ;  ٔ    ;    813	                    ;  ٔ    ;    938	                     ;  ٔ    ;    611	               ;  ٔ    ;    184	     ;  ٔ    ;    327	                   ;  ٔ    ;    939	                  ;  ٔ    ;    336	                 ;  ٔ    ;     57	                  ;  ٔ    ;     11	        ;  ٔ    ;     22	            ;  ٔ    ;    349	           ;  ٔ    ;    923	                         ;  ٔ    ;    157	          ;  ٔ    ;    327	                ;  ٔ    ;     24	                  ;  ٔ    ;    316	             ;  ٔ    ;   1069
    ﯽ   ;  \ufbfd ;  12567 ;            ARABIC LETTER FARSI YEH FINAL FORM	  ;  ﯽ   ;     49	                         ;  ﯽ   ;     31	                ;  ﯽ   ;    308	                  ;  ﯽ   ;   1513	                 ;  ﯽ   ;      0	                  ;  ﯽ   ;    234	               ;  ﯽ   ;     13	                    ;  ﯽ   ;      0	                     ;  ﯽ   ;     58	               ;  ﯽ   ;     16	     ;  ﯽ   ;    417	                   ;  ﯽ   ;    351	                  ;  ﯽ   ;    726	                 ;  ﯽ   ;    168	                  ;  ﯽ   ;     24	        ;  ﯽ   ;     95	            ;  ﯽ   ;    541	           ;  ﯽ   ;   2215	                         ;  ﯽ   ;    490	          ;  ﯽ   ;    256	                ;  ﯽ   ;    215	                  ;  ﯽ   ;    799	             ;  ﯽ   ;   4048
    ٓ    ;  \u0653 ;   4647 ;                           ARABIC MADDAH ABOVE	  ;  ٓ    ;     11	                         ;  ٓ    ;     40	                ;  ٓ    ;     17	                  ;  ٓ    ;    171	                 ;  ٓ    ;     36	                  ;  ٓ    ;     22	               ;  ٓ    ;     52	                    ;  ٓ    ;     34	                     ;  ٓ    ;     13	               ;  ٓ    ;      7	     ;  ٓ    ;     97	                   ;  ٓ    ;    100	                  ;  ٓ    ;    171	                 ;  ٓ    ;     45	                  ;  ٓ    ;     43	        ;  ٓ    ;      0	            ;  ٓ    ;    299	           ;  ٓ    ;   1572	                         ;  ٓ    ;    323	          ;  ٓ    ;    623	                ;  ٓ    ;    166	                  ;  ٓ    ;    194	             ;  ٓ    ;    611
    ﺩ   ;  \ufea9 ;  19920 ;               ARABIC LETTER DAL ISOLATED FORM	  ;  ﺩ   ;     47	                         ;  ﺩ   ;    188	                ;  ﺩ   ;    252	                  ;  ﺩ   ;   1002	                 ;  ﺩ   ;    205	                  ;  ﺩ   ;    613	               ;  ﺩ   ;    292	                    ;  ﺩ   ;    245	                     ;  ﺩ   ;    205	               ;  ﺩ   ;    235	     ;  ﺩ   ;    376	                   ;  ﺩ   ;    472	                  ;  ﺩ   ;   1231	                 ;  ﺩ   ;    235	                  ;  ﺩ   ;    109	        ;  ﺩ   ;    368	            ;  ﺩ   ;   1133	           ;  ﺩ   ;   6186	                         ;  ﺩ   ;    805	          ;  ﺩ   ;   2628	                ;  ﺩ   ;    631	                  ;  ﺩ   ;    604	             ;  ﺩ   ;   1858
