#  Symb ;    Unic ;  #Freq ;                                   Description	  ; Symb ; arabic_algerian_pseudo_maghribi	; Symb ; arabic_amriki_typeface	; Symb ; arabic_bulaq_ii_typeface	; Symb ; arabic_bulaq_i_typeface	; Symb ; arabic_decotype_typeface	; Symb ; arabic_lotus_linotype	; Symb ; arabic_simplified_typeface	; Symb ; arabic_traditional_typeface	; Symb ; backwards_ya_typeface	; Symb ; eurarabic_i	; Symb ; ottoman_naskh_ii_typeface	; Symb ; ottoman_naskh_i_typeface	; Symb ; ottoman_turkish_naskh_i	; Symb ; ottoman_turkish_naskh_ii	; Symb ; persian_amriki	; Symb ; persian_incunabula	; Symb ; persian_intertype	; Symb ; persian_lotus_linotype_typeface	; Symb ; persian_monotype	; Symb ; persian_watts_typeface	; Symb ; russian_persian_typeface	; Symb ; urdu_naskh_typeface	; Symb ; urdu_nastaliq_typeface
    ﻐ   ;  \ufed0 ;   1598 ;               ARABIC LETTER GHAIN MEDIAL FORM	  ;  ﻐ   ;     19	                         ;  ﻐ   ;     66	                ;  ﻐ   ;    136	                  ;  ﻐ   ;    309	                 ;  ﻐ   ;     60	                  ;  ﻐ   ;     18	               ;  ﻐ   ;     56	                    ;  ﻐ   ;     65	                     ;  ﻐ   ;     61	               ;  ﻐ   ;     18	     ;  ﻐ   ;     84	                   ;  ﻐ   ;     95	                  ;  ﻐ   ;    155	                 ;  ﻐ   ;     15	                  ;  ﻐ   ;      8	        ;  ﻐ   ;     20	            ;  ﻐ   ;     41	           ;  ﻐ   ;    170	                         ;  ﻐ   ;     54	          ;  ﻐ   ;     74	                ;  ﻐ   ;      4	                  ;  ﻐ   ;     15	             ;  ﻐ   ;     55
    ’   ;  \u2019 ;    467 ;                   RIGHT SINGLE QUOTATION MARK	  ;  ’   ;      0	                         ;  ’   ;      0	                ;  ’   ;      0	                  ;  ’   ;      0	                 ;  ’   ;      0	                  ;  ’   ;      0	               ;  ’   ;      0	                    ;  ’   ;      0	                     ;  ’   ;      0	               ;  ’   ;      0	     ;  ’   ;      0	                   ;  ’   ;      0	                  ;  ’   ;      0	                 ;  ’   ;      0	                  ;  ’   ;      0	        ;  ’   ;      0	            ;  ’   ;      0	           ;  ’   ;      0	                         ;  ’   ;      0	          ;  ’   ;      0	                ;  ’   ;      0	                  ;  ’   ;    235	             ;  ’   ;    232
    :   ;       : ;   1446 ;                                         COLON	  ;  :   ;      0	                         ;  :   ;      0	                ;  :   ;     20	                  ;  :   ;      0	                 ;  :   ;      6	                  ;  :   ;     75	               ;  :   ;    342	                    ;  :   ;    125	                     ;  :   ;     57	               ;  :   ;      0	     ;  :   ;     10	                   ;  :   ;      0	                  ;  :   ;      0	                 ;  :   ;      6	                  ;  :   ;      0	        ;  :   ;      0	            ;  :   ;    104	           ;  :   ;    587	                         ;  :   ;     18	          ;  :   ;      4	                ;  :   ;      0	                  ;  :   ;     14	             ;  :   ;     78
    ﺙ   ;  \ufe99 ;    178 ;              ARABIC LETTER THEH ISOLATED FORM	  ;  ﺙ   ;      0	                         ;  ﺙ   ;     16	                ;  ﺙ   ;     12	                  ;  ﺙ   ;     25	                 ;  ﺙ   ;      7	                  ;  ﺙ   ;      1	               ;  ﺙ   ;     11	                    ;  ﺙ   ;      7	                     ;  ﺙ   ;      5	               ;  ﺙ   ;      5	     ;  ﺙ   ;     14	                   ;  ﺙ   ;      2	                  ;  ﺙ   ;      6	                 ;  ﺙ   ;      3	                  ;  ﺙ   ;      0	        ;  ﺙ   ;      2	            ;  ﺙ   ;      4	           ;  ﺙ   ;     26	                         ;  ﺙ   ;      1	          ;  ﺙ   ;     13	                ;  ﺙ   ;      0	                  ;  ﺙ   ;      0	             ;  ﺙ   ;     18
    ﮓ   ;  \ufb93 ;    368 ;                  ARABIC LETTER GAF FINAL FORM	  ;  ﮓ   ;      0	                         ;  ﮓ   ;      0	                ;  ﮓ   ;      0	                  ;  ﮓ   ;      0	                 ;  ﮓ   ;      0	                  ;  ﮓ   ;      0	               ;  ﮓ   ;      0	                    ;  ﮓ   ;      0	                     ;  ﮓ   ;      0	               ;  ﮓ   ;      0	     ;  ﮓ   ;      0	                   ;  ﮓ   ;      0	                  ;  ﮓ   ;      0	                 ;  ﮓ   ;      0	                  ;  ﮓ   ;      0	        ;  ﮓ   ;      0	            ;  ﮓ   ;     12	           ;  ﮓ   ;     74	                         ;  ﮓ   ;      0	          ;  ﮓ   ;    184	                ;  ﮓ   ;     27	                  ;  ﮓ   ;     16	             ;  ﮓ   ;     55
    ﻲ   ;  \ufef2 ;   3291 ;                  ARABIC LETTER YEH FINAL FORM	  ;  ﻲ   ;     36	                         ;  ﻲ   ;    511	                ;  ﻲ   ;     48	                  ;  ﻲ   ;    111	                 ;  ﻲ   ;    464	                  ;  ﻲ   ;      7	               ;  ﻲ   ;    576	                    ;  ﻲ   ;    573	                     ;  ﻲ   ;    232	               ;  ﻲ   ;      1	     ;  ﻲ   ;     49	                   ;  ﻲ   ;     97	                  ;  ﻲ   ;     24	                 ;  ﻲ   ;      3	                  ;  ﻲ   ;      2	        ;  ﻲ   ;      0	            ;  ﻲ   ;      7	           ;  ﻲ   ;     29	                         ;  ﻲ   ;      4	          ;  ﻲ   ;    502	                ;  ﻲ   ;      0	                  ;  ﻲ   ;      0	             ;  ﻲ   ;     15
    ﭩ   ;  \ufb69 ;    316 ;                ARABIC LETTER TTEH MEDIAL FORM	  ;  ﭩ   ;      0	                         ;  ﭩ   ;      0	                ;  ﭩ   ;      0	                  ;  ﭩ   ;      0	                 ;  ﭩ   ;      0	                  ;  ﭩ   ;      0	               ;  ﭩ   ;      0	                    ;  ﭩ   ;      0	                     ;  ﭩ   ;      1	               ;  ﭩ   ;      0	     ;  ﭩ   ;      0	                   ;  ﭩ   ;      0	                  ;  ﭩ   ;      0	                 ;  ﭩ   ;      0	                  ;  ﭩ   ;      0	        ;  ﭩ   ;      0	            ;  ﭩ   ;      0	           ;  ﭩ   ;      0	                         ;  ﭩ   ;      0	          ;  ﭩ   ;      0	                ;  ﭩ   ;      0	                  ;  ﭩ   ;     80	             ;  ﭩ   ;    235
    -   ;       - ;    693 ;                                  HYPHEN-MINUS	  ;  -   ;      0	                         ;  -   ;      0	                ;  -   ;     19	                  ;  -   ;      0	                 ;  -   ;      0	                  ;  -   ;     45	               ;  -   ;     54	                    ;  -   ;     74	                     ;  -   ;     48	               ;  -   ;      0	     ;  -   ;     14	                   ;  -   ;      0	                  ;  -   ;      1	                 ;  -   ;      2	                  ;  -   ;      0	        ;  -   ;      0	            ;  -   ;     24	           ;  -   ;    293	                         ;  -   ;     18	          ;  -   ;     89	                ;  -   ;      0	                  ;  -   ;      5	             ;  -   ;      7
    ﺞ   ;  \ufe9e ;    336 ;                 ARABIC LETTER JEEM FINAL FORM	  ;  ﺞ   ;      2	                         ;  ﺞ   ;      5	                ;  ﺞ   ;     43	                  ;  ﺞ   ;     28	                 ;  ﺞ   ;      4	                  ;  ﺞ   ;      6	               ;  ﺞ   ;      4	                    ;  ﺞ   ;     12	                     ;  ﺞ   ;     12	               ;  ﺞ   ;      3	     ;  ﺞ   ;      8	                   ;  ﺞ   ;      8	                  ;  ﺞ   ;     15	                 ;  ﺞ   ;      1	                  ;  ﺞ   ;      0	        ;  ﺞ   ;      7	            ;  ﺞ   ;     13	           ;  ﺞ   ;     60	                         ;  ﺞ   ;     19	          ;  ﺞ   ;     18	                ;  ﺞ   ;      8	                  ;  ﺞ   ;     15	             ;  ﺞ   ;     45
    ً    ;  \u064b ;   1026 ;                               ARABIC FATHATAN	  ;  ً    ;      0	                         ;  ً    ;    212	                ;  ً    ;     74	                  ;  ً    ;      2	                 ;  ً    ;    132	                  ;  ً    ;    107	               ;  ً    ;     59	                    ;  ً    ;    231	                     ;  ً    ;     15	               ;  ً    ;      2	     ;  ً    ;      0	                   ;  ً    ;      0	                  ;  ً    ;      5	                 ;  ً    ;      5	                  ;  ً    ;      3	        ;  ً    ;      0	            ;  ً    ;     46	           ;  ً    ;     60	                         ;  ً    ;      4	          ;  ً    ;     26	                ;  ً    ;      0	                  ;  ً    ;      5	             ;  ً    ;     38
    ﻁ   ;  \ufec1 ;    294 ;               ARABIC LETTER TAH ISOLATED FORM	  ;  ﻁ   ;      1	                         ;  ﻁ   ;     11	                ;  ﻁ   ;     36	                  ;  ﻁ   ;     35	                 ;  ﻁ   ;      6	                  ;  ﻁ   ;      0	               ;  ﻁ   ;     29	                    ;  ﻁ   ;      7	                     ;  ﻁ   ;     19	               ;  ﻁ   ;      2	     ;  ﻁ   ;     23	                   ;  ﻁ   ;     22	                  ;  ﻁ   ;     11	                 ;  ﻁ   ;      2	                  ;  ﻁ   ;      0	        ;  ﻁ   ;      0	            ;  ﻁ   ;      8	           ;  ﻁ   ;     31	                         ;  ﻁ   ;     12	          ;  ﻁ   ;     13	                ;  ﻁ   ;      0	                  ;  ﻁ   ;     12	             ;  ﻁ   ;     14
    ﺺ   ;  \ufeba ;    266 ;                  ARABIC LETTER SAD FINAL FORM	  ;  ﺺ   ;      1	                         ;  ﺺ   ;     14	                ;  ﺺ   ;     11	                  ;  ﺺ   ;     43	                 ;  ﺺ   ;     21	                  ;  ﺺ   ;     11	               ;  ﺺ   ;      6	                    ;  ﺺ   ;      6	                     ;  ﺺ   ;     10	               ;  ﺺ   ;      9	     ;  ﺺ   ;     19	                   ;  ﺺ   ;     27	                  ;  ﺺ   ;      5	                 ;  ﺺ   ;      7	                  ;  ﺺ   ;      0	        ;  ﺺ   ;      0	            ;  ﺺ   ;      7	           ;  ﺺ   ;     25	                         ;  ﺺ   ;      3	          ;  ﺺ   ;     10	                ;  ﺺ   ;      0	                  ;  ﺺ   ;      3	             ;  ﺺ   ;     28
    1   ;       1 ;    887 ;                                     DIGIT ONE	  ;  1   ;     11	                         ;  1   ;      0	                ;  1   ;      0	                  ;  1   ;      1	                 ;  1   ;      0	                  ;  1   ;      0	               ;  1   ;    202	                    ;  1   ;      0	                     ;  1   ;    245	               ;  1   ;    103	     ;  1   ;      0	                   ;  1   ;      0	                  ;  1   ;      0	                 ;  1   ;      0	                  ;  1   ;      4	        ;  1   ;      0	            ;  1   ;     19	           ;  1   ;      2	                         ;  1   ;      0	          ;  1   ;      1	                ;  1   ;    259	                  ;  1   ;      1	             ;  1   ;     39
    ﻚ   ;  \ufeda ;   2259 ;                  ARABIC LETTER KAF FINAL FORM	  ;  ﻚ   ;     26	                         ;  ﻚ   ;    113	                ;  ﻚ   ;    145	                  ;  ﻚ   ;    496	                 ;  ﻚ   ;    152	                  ;  ﻚ   ;    130	               ;  ﻚ   ;    102	                    ;  ﻚ   ;    126	                     ;  ﻚ   ;     33	               ;  ﻚ   ;     52	     ;  ﻚ   ;    190	                   ;  ﻚ   ;    139	                  ;  ﻚ   ;    291	                 ;  ﻚ   ;     15	                  ;  ﻚ   ;      5	        ;  ﻚ   ;     18	            ;  ﻚ   ;     17	           ;  ﻚ   ;    186	                         ;  ﻚ   ;      8	          ;  ﻚ   ;     11	                ;  ﻚ   ;      1	                  ;  ﻚ   ;      0	             ;  ﻚ   ;      3
    ٌ    ;  \u064c ;    242 ;                               ARABIC DAMMATAN	  ;  ٌ    ;      0	                         ;  ٌ    ;     84	                ;  ٌ    ;      0	                  ;  ٌ    ;      0	                 ;  ٌ    ;     12	                  ;  ٌ    ;      0	               ;  ٌ    ;     30	                    ;  ٌ    ;    110	                     ;  ٌ    ;      0	               ;  ٌ    ;      0	     ;  ٌ    ;      0	                   ;  ٌ    ;      0	                  ;  ٌ    ;      0	                 ;  ٌ    ;      0	                  ;  ٌ    ;      0	        ;  ٌ    ;      0	            ;  ٌ    ;      3	           ;  ٌ    ;      2	                         ;  ٌ    ;      0	          ;  ٌ    ;      0	                ;  ٌ    ;      0	                  ;  ٌ    ;      0	             ;  ٌ    ;      1
    ِ    ;  \u0650 ;   2834 ;                                  ARABIC KASRA	  ;  ِ    ;      0	                         ;  ِ    ;    624	                ;  ِ    ;      0	                  ;  ِ    ;      0	                 ;  ِ    ;    209	                  ;  ِ    ;      0	               ;  ِ    ;    253	                    ;  ِ    ;    308	                     ;  ِ    ;      5	               ;  ِ    ;     16	     ;  ِ    ;      0	                   ;  ِ    ;      0	                  ;  ِ    ;      0	                 ;  ِ    ;      0	                  ;  ِ    ;      9	        ;  ِ    ;     10	            ;  ِ    ;    814	           ;  ِ    ;     16	                         ;  ِ    ;     14	          ;  ِ    ;     27	                ;  ِ    ;      1	                  ;  ِ    ;     42	             ;  ِ    ;    486
    ﻒ   ;  \ufed2 ;   1480 ;                  ARABIC LETTER FEH FINAL FORM	  ;  ﻒ   ;     16	                         ;  ﻒ   ;     84	                ;  ﻒ   ;     73	                  ;  ﻒ   ;    256	                 ;  ﻒ   ;     71	                  ;  ﻒ   ;     44	               ;  ﻒ   ;     49	                    ;  ﻒ   ;     67	                     ;  ﻒ   ;     38	               ;  ﻒ   ;     34	     ;  ﻒ   ;     69	                   ;  ﻒ   ;    120	                  ;  ﻒ   ;     61	                 ;  ﻒ   ;      7	                  ;  ﻒ   ;      3	        ;  ﻒ   ;      6	            ;  ﻒ   ;     95	           ;  ﻒ   ;    168	                         ;  ﻒ   ;     32	          ;  ﻒ   ;     96	                ;  ﻒ   ;      1	                  ;  ﻒ   ;      9	             ;  ﻒ   ;     81
    ٢   ;  \u0662 ;    231 ;                        ARABIC-INDIC DIGIT TWO	  ;  ٢   ;      1	                         ;  ٢   ;      1	                ;  ٢   ;      0	                  ;  ٢   ;      9	                 ;  ٢   ;     12	                  ;  ٢   ;     29	               ;  ٢   ;      0	                    ;  ٢   ;     50	                     ;  ٢   ;      6	               ;  ٢   ;      0	     ;  ٢   ;      0	                   ;  ٢   ;      9	                  ;  ٢   ;      0	                 ;  ٢   ;      0	                  ;  ٢   ;      1	        ;  ٢   ;      2	            ;  ٢   ;      0	           ;  ٢   ;      8	                         ;  ٢   ;     93	          ;  ٢   ;     10	                ;  ٢   ;      0	                  ;  ٢   ;      0	             ;  ٢   ;      0
    ﮈ   ;  \ufb88 ;    152 ;              ARABIC LETTER DDAL ISOLATED FORM	  ;  ﮈ   ;      0	                         ;  ﮈ   ;      0	                ;  ﮈ   ;      0	                  ;  ﮈ   ;      0	                 ;  ﮈ   ;      0	                  ;  ﮈ   ;      0	               ;  ﮈ   ;      0	                    ;  ﮈ   ;      0	                     ;  ﮈ   ;      0	               ;  ﮈ   ;      0	     ;  ﮈ   ;      0	                   ;  ﮈ   ;      0	                  ;  ﮈ   ;      0	                 ;  ﮈ   ;      0	                  ;  ﮈ   ;      0	        ;  ﮈ   ;      0	            ;  ﮈ   ;      0	           ;  ﮈ   ;      0	                         ;  ﮈ   ;      0	          ;  ﮈ   ;      0	                ;  ﮈ   ;      0	                  ;  ﮈ   ;     17	             ;  ﮈ   ;    135
    ﮮ   ;  \ufbae ;    670 ;        ARABIC LETTER YEH BARREE ISOLATED FORM	  ;  ﮮ   ;      0	                         ;  ﮮ   ;      0	                ;  ﮮ   ;      0	                  ;  ﮮ   ;      0	                 ;  ﮮ   ;      0	                  ;  ﮮ   ;      0	               ;  ﮮ   ;      0	                    ;  ﮮ   ;      0	                     ;  ﮮ   ;      0	               ;  ﮮ   ;      0	     ;  ﮮ   ;      0	                   ;  ﮮ   ;      0	                  ;  ﮮ   ;      0	                 ;  ﮮ   ;      0	                  ;  ﮮ   ;      0	        ;  ﮮ   ;      0	            ;  ﮮ   ;      0	           ;  ﮮ   ;      0	                         ;  ﮮ   ;      0	          ;  ﮮ   ;      0	                ;  ﮮ   ;      0	                  ;  ﮮ   ;    163	             ;  ﮮ   ;    507
    ﺲ   ;  \ufeb2 ;   1484 ;                 ARABIC LETTER SEEN FINAL FORM	  ;  ﺲ   ;      8	                         ;  ﺲ   ;     48	                ;  ﺲ   ;     61	                  ;  ﺲ   ;    171	                 ;  ﺲ   ;     54	                  ;  ﺲ   ;     64	               ;  ﺲ   ;     28	                    ;  ﺲ   ;     43	                     ;  ﺲ   ;    115	               ;  ﺲ   ;     57	     ;  ﺲ   ;     88	                   ;  ﺲ   ;     47	                  ;  ﺲ   ;     21	                 ;  ﺲ   ;     16	                  ;  ﺲ   ;      0	        ;  ﺲ   ;      1	            ;  ﺲ   ;     47	           ;  ﺲ   ;    181	                         ;  ﺲ   ;     57	          ;  ﺲ   ;     67	                ;  ﺲ   ;     27	                  ;  ﺲ   ;     70	             ;  ﺲ   ;    213
    ﻆ   ;  \ufec6 ;    231 ;                  ARABIC LETTER ZAH FINAL FORM	  ;  ﻆ   ;      2	                         ;  ﻆ   ;     29	                ;  ﻆ   ;      8	                  ;  ﻆ   ;     42	                 ;  ﻆ   ;      5	                  ;  ﻆ   ;     16	               ;  ﻆ   ;      7	                    ;  ﻆ   ;      6	                     ;  ﻆ   ;      5	               ;  ﻆ   ;     10	     ;  ﻆ   ;      9	                   ;  ﻆ   ;     39	                  ;  ﻆ   ;      8	                 ;  ﻆ   ;      0	                  ;  ﻆ   ;      0	        ;  ﻆ   ;      0	            ;  ﻆ   ;      8	           ;  ﻆ   ;     15	                         ;  ﻆ   ;      8	          ;  ﻆ   ;      2	                ;  ﻆ   ;      0	                  ;  ﻆ   ;      3	             ;  ﻆ   ;      9
    ﺽ   ;  \ufebd ;    540 ;               ARABIC LETTER DAD ISOLATED FORM	  ;  ﺽ   ;      4	                         ;  ﺽ   ;     25	                ;  ﺽ   ;     19	                  ;  ﺽ   ;     91	                 ;  ﺽ   ;     21	                  ;  ﺽ   ;     25	               ;  ﺽ   ;     13	                    ;  ﺽ   ;     31	                     ;  ﺽ   ;     13	               ;  ﺽ   ;     19	     ;  ﺽ   ;     23	                   ;  ﺽ   ;     30	                  ;  ﺽ   ;     16	                 ;  ﺽ   ;      6	                  ;  ﺽ   ;      0	        ;  ﺽ   ;      4	            ;  ﺽ   ;     19	           ;  ﺽ   ;     61	                         ;  ﺽ   ;      7	          ;  ﺽ   ;     37	                ;  ﺽ   ;      0	                  ;  ﺽ   ;      8	             ;  ﺽ   ;     68
    ﺦ   ;  \ufea6 ;    842 ;                 ARABIC LETTER KHAH FINAL FORM	  ;  ﺦ   ;     11	                         ;  ﺦ   ;      4	                ;  ﺦ   ;     16	                  ;  ﺦ   ;     81	                 ;  ﺦ   ;     13	                  ;  ﺦ   ;      1	               ;  ﺦ   ;     69	                    ;  ﺦ   ;     44	                     ;  ﺦ   ;     11	               ;  ﺦ   ;      0	     ;  ﺦ   ;     17	                   ;  ﺦ   ;     44	                  ;  ﺦ   ;      5	                 ;  ﺦ   ;      8	                  ;  ﺦ   ;      1	        ;  ﺦ   ;      1	            ;  ﺦ   ;     32	           ;  ﺦ   ;    113	                         ;  ﺦ   ;    239	          ;  ﺦ   ;     58	                ;  ﺦ   ;      6	                  ;  ﺦ   ;      6	             ;  ﺦ   ;     62
    ۳   ;  \u06f3 ;    425 ;             EXTENDED ARABIC-INDIC DIGIT THREE	  ;  ۳   ;      0	                         ;  ۳   ;      0	                ;  ۳   ;      3	                  ;  ۳   ;      2	                 ;  ۳   ;      0	                  ;  ۳   ;      0	               ;  ۳   ;      0	                    ;  ۳   ;      0	                     ;  ۳   ;      0	               ;  ۳   ;      0	     ;  ۳   ;      3	                   ;  ۳   ;      0	                  ;  ۳   ;      8	                 ;  ۳   ;      0	                  ;  ۳   ;      0	        ;  ۳   ;      0	            ;  ۳   ;     62	           ;  ۳   ;    309	                         ;  ۳   ;      1	          ;  ۳   ;      8	                ;  ۳   ;      2	                  ;  ۳   ;      0	             ;  ۳   ;     27
    [   ;       [ ;    232 ;                           LEFT SQUARE BRACKET	  ;  [   ;      3	                         ;  [   ;      0	                ;  [   ;      0	                  ;  [   ;      0	                 ;  [   ;     16	                  ;  [   ;      0	               ;  [   ;     29	                    ;  [   ;      2	                     ;  [   ;      6	               ;  [   ;      3	     ;  [   ;      3	                   ;  [   ;      1	                  ;  [   ;      1	                 ;  [   ;      1	                  ;  [   ;      0	        ;  [   ;      0	            ;  [   ;     31	           ;  [   ;     72	                         ;  [   ;     15	          ;  [   ;      2	                ;  [   ;     34	                  ;  [   ;      0	             ;  [   ;     13
    ]   ;       ] ;    228 ;                          RIGHT SQUARE BRACKET	  ;  ]   ;      3	                         ;  ]   ;      0	                ;  ]   ;      0	                  ;  ]   ;      1	                 ;  ]   ;     16	                  ;  ]   ;      0	               ;  ]   ;     29	                    ;  ]   ;      3	                     ;  ]   ;      3	               ;  ]   ;      2	     ;  ]   ;      2	                   ;  ]   ;      0	                  ;  ]   ;      1	                 ;  ]   ;      1	                  ;  ]   ;      0	        ;  ]   ;      0	            ;  ]   ;     32	           ;  ]   ;     72	                         ;  ]   ;     16	          ;  ]   ;      0	                ;  ]   ;     31	                  ;  ]   ;      0	             ;  ]   ;     16
    ﮌ   ;  \ufb8c ;    150 ;              ARABIC LETTER RREH ISOLATED FORM	  ;  ﮌ   ;      0	                         ;  ﮌ   ;      0	                ;  ﮌ   ;      0	                  ;  ﮌ   ;      0	                 ;  ﮌ   ;      0	                  ;  ﮌ   ;      0	               ;  ﮌ   ;      0	                    ;  ﮌ   ;      0	                     ;  ﮌ   ;      0	               ;  ﮌ   ;      0	     ;  ﮌ   ;      0	                   ;  ﮌ   ;      0	                  ;  ﮌ   ;      0	                 ;  ﮌ   ;      0	                  ;  ﮌ   ;      0	        ;  ﮌ   ;      0	            ;  ﮌ   ;      0	           ;  ﮌ   ;      0	                         ;  ﮌ   ;      0	          ;  ﮌ   ;      0	                ;  ﮌ   ;      0	                  ;  ﮌ   ;     58	             ;  ﮌ   ;     92
    ﻍ   ;  \ufecd ;    155 ;             ARABIC LETTER GHAIN ISOLATED FORM	  ;  ﻍ   ;      2	                         ;  ﻍ   ;      2	                ;  ﻍ   ;      4	                  ;  ﻍ   ;      9	                 ;  ﻍ   ;      4	                  ;  ﻍ   ;      0	               ;  ﻍ   ;      3	                    ;  ﻍ   ;      4	                     ;  ﻍ   ;      1	               ;  ﻍ   ;      1	     ;  ﻍ   ;      5	                   ;  ﻍ   ;      4	                  ;  ﻍ   ;     19	                 ;  ﻍ   ;      1	                  ;  ﻍ   ;      0	        ;  ﻍ   ;      3	            ;  ﻍ   ;      8	           ;  ﻍ   ;     31	                         ;  ﻍ   ;      2	          ;  ﻍ   ;     22	                ;  ﻍ   ;      2	                  ;  ﻍ   ;     20	             ;  ﻍ   ;      8
    7   ;       7 ;    188 ;                                   DIGIT SEVEN	  ;  7   ;      3	                         ;  7   ;      0	                ;  7   ;      0	                  ;  7   ;      0	                 ;  7   ;      0	                  ;  7   ;      0	               ;  7   ;     50	                    ;  7   ;      0	                     ;  7   ;     46	               ;  7   ;     19	     ;  7   ;      0	                   ;  7   ;      0	                  ;  7   ;      1	                 ;  7   ;      0	                  ;  7   ;      0	        ;  7   ;      0	            ;  7   ;     11	           ;  7   ;      0	                         ;  7   ;      0	          ;  7   ;      0	                ;  7   ;     46	                  ;  7   ;      2	             ;  7   ;     10
    ۶   ;  \u06f6 ;    233 ;               EXTENDED ARABIC-INDIC DIGIT SIX	  ;  ۶   ;      0	                         ;  ۶   ;      0	                ;  ۶   ;      3	                  ;  ۶   ;      1	                 ;  ۶   ;      0	                  ;  ۶   ;      0	               ;  ۶   ;      0	                    ;  ۶   ;      0	                     ;  ۶   ;      0	               ;  ۶   ;      0	     ;  ۶   ;      2	                   ;  ۶   ;      1	                  ;  ۶   ;      7	                 ;  ۶   ;      0	                  ;  ۶   ;      0	        ;  ۶   ;      0	            ;  ۶   ;     41	           ;  ۶   ;    159	                         ;  ۶   ;      0	          ;  ۶   ;      1	                ;  ۶   ;      3	                  ;  ۶   ;      2	             ;  ۶   ;     13
    ٣   ;  \u0663 ;    159 ;                      ARABIC-INDIC DIGIT THREE	  ;  ٣   ;      2	                         ;  ٣   ;      3	                ;  ٣   ;      0	                  ;  ٣   ;     15	                 ;  ٣   ;      7	                  ;  ٣   ;     25	               ;  ٣   ;      0	                    ;  ٣   ;     38	                     ;  ٣   ;      5	               ;  ٣   ;      0	     ;  ٣   ;      0	                   ;  ٣   ;     10	                  ;  ٣   ;      0	                 ;  ٣   ;      0	                  ;  ٣   ;      0	        ;  ٣   ;      0	            ;  ٣   ;      0	           ;  ٣   ;      1	                         ;  ٣   ;     43	          ;  ٣   ;      9	                ;  ٣   ;      0	                  ;  ٣   ;      0	             ;  ٣   ;      1
    ؟   ;  \u061f ;    189 ;                          ARABIC QUESTION MARK	  ;  ؟   ;      0	                         ;  ؟   ;      0	                ;  ؟   ;      1	                  ;  ؟   ;      0	                 ;  ؟   ;      0	                  ;  ؟   ;      0	               ;  ؟   ;     20	                    ;  ؟   ;      9	                     ;  ؟   ;      6	               ;  ؟   ;      0	     ;  ؟   ;      0	                   ;  ؟   ;      0	                  ;  ؟   ;      0	                 ;  ؟   ;      2	                  ;  ؟   ;      0	        ;  ؟   ;      0	            ;  ؟   ;     11	           ;  ؟   ;     29	                         ;  ؟   ;      0	          ;  ؟   ;      6	                ;  ؟   ;      6	                  ;  ؟   ;     17	             ;  ؟   ;     82
    3   ;       3 ;    282 ;                                   DIGIT THREE	  ;  3   ;      1	                         ;  3   ;      0	                ;  3   ;      0	                  ;  3   ;      0	                 ;  3   ;      0	                  ;  3   ;      0	               ;  3   ;    110	                    ;  3   ;      0	                     ;  3   ;     41	               ;  3   ;     29	     ;  3   ;      0	                   ;  3   ;      0	                  ;  3   ;      0	                 ;  3   ;      0	                  ;  3   ;      2	        ;  3   ;      0	            ;  3   ;     21	           ;  3   ;      2	                         ;  3   ;      0	          ;  3   ;      2	                ;  3   ;     62	                  ;  3   ;      7	             ;  3   ;      5
    4   ;       4 ;    287 ;                                    DIGIT FOUR	  ;  4   ;      2	                         ;  4   ;      0	                ;  4   ;      0	                  ;  4   ;      0	                 ;  4   ;      0	                  ;  4   ;      0	               ;  4   ;     74	                    ;  4   ;      0	                     ;  4   ;    100	               ;  4   ;     24	     ;  4   ;      0	                   ;  4   ;      0	                  ;  4   ;      0	                 ;  4   ;      0	                  ;  4   ;      2	        ;  4   ;      0	            ;  4   ;     16	           ;  4   ;      0	                         ;  4   ;      0	          ;  4   ;      1	                ;  4   ;     50	                  ;  4   ;      5	             ;  4   ;     13
    ﺹ   ;  \ufeb9 ;    466 ;               ARABIC LETTER SAD ISOLATED FORM	  ;  ﺹ   ;      1	                         ;  ﺹ   ;      5	                ;  ﺹ   ;      2	                  ;  ﺹ   ;     46	                 ;  ﺹ   ;     24	                  ;  ﺹ   ;     19	               ;  ﺹ   ;     62	                    ;  ﺹ   ;     12	                     ;  ﺹ   ;     53	               ;  ﺹ   ;      3	     ;  ﺹ   ;     15	                   ;  ﺹ   ;      8	                  ;  ﺹ   ;      7	                 ;  ﺹ   ;      5	                  ;  ﺹ   ;      2	        ;  ﺹ   ;      1	            ;  ﺹ   ;     40	           ;  ﺹ   ;     85	                         ;  ﺹ   ;     24	          ;  ﺹ   ;     26	                ;  ﺹ   ;      0	                  ;  ﺹ   ;      2	             ;  ﺹ   ;     24
    ”   ;  \u201d ;    173 ;                   RIGHT DOUBLE QUOTATION MARK	  ;  ”   ;      0	                         ;  ”   ;      0	                ;  ”   ;      0	                  ;  ”   ;      0	                 ;  ”   ;      0	                  ;  ”   ;      0	               ;  ”   ;      0	                    ;  ”   ;      0	                     ;  ”   ;      0	               ;  ”   ;      0	     ;  ”   ;      0	                   ;  ”   ;      0	                  ;  ”   ;      0	                 ;  ”   ;      0	                  ;  ”   ;      0	        ;  ”   ;      0	            ;  ”   ;      0	           ;  ”   ;      0	                         ;  ”   ;      0	          ;  ”   ;      0	                ;  ”   ;      0	                  ;  ”   ;     65	             ;  ”   ;    108
